date,store_id,temperature_c,precipitation_mm,humidity_pct,weather_condition,is_holiday,local_event
2024-04-01,STORE01,8.9,0.0,38.0,Sunny,0,
2024-04-02,STORE01,15.5,0.0,39.9,Sunny,0,Concert
2024-04-03,STORE01,15.8,17.2,29.8,Stormy,0,Sports Game
2024-04-04,STORE01,9.8,0.0,36.2,Cloudy,0,Parade
2024-04-05,STORE01,10.7,0.0,21.1,Cloudy,0,Local Festival
2024-04-06,STORE01,14.5,0.0,30.2,Sunny,0,Market Day
2024-04-07,STORE01,9.9,17.4,42.5,Stormy,0,
2024-04-08,STORE01,5.7,0.0,24.3,Clear,0,
2024-04-09,STORE01,9.5,0.0,23.0,Cloudy,0,Food Festival
2024-04-10,STORE01,10.0,0.0,45.9,Sunny,0,Local Festival
2024-04-11,STORE01,8.1,0.0,37.7,Clear,0,Community Fair
2024-04-12,STORE01,13.9,0.0,47.2,Sunny,0,
2024-04-13,STORE01,15.3,0.0,42.7,Sunny,0,Food Festival
2024-04-14,STORE01,15.9,0.0,34.5,Sunny,0,Marathon
2024-04-15,STORE01,8.6,17.8,32.0,Stormy,0,Local Festival
2024-04-16,STORE01,18.7,18.0,31.3,Stormy,0,
2024-04-17,STORE01,9.9,0.0,37.8,Cloudy,0,Concert
2024-04-18,STORE01,10.8,0.0,22.5,Windy,0,Food Festival
2024-04-19,STORE01,9.3,0.0,26.7,Sunny,0,Concert
2024-04-20,STORE01,16.8,0.0,28.5,Sunny,0,Local Festival
2024-04-21,STORE01,17.2,0.0,46.3,Sunny,0,Food Festival
2024-04-22,STORE01,7.8,20.9,48.5,Stormy,0,
2024-04-23,STORE01,12.0,17.6,33.6,Stormy,0,Marathon
2024-04-24,STORE01,15.2,0.0,31.1,Windy,0,
2024-04-25,STORE01,13.4,18.6,37.2,Stormy,0,Food Festival
2024-04-26,STORE01,7.6,0.0,29.0,Clear,0,
2024-04-27,STORE01,15.0,0.0,51.6,Sunny,0,Local Festival
2024-04-28,STORE01,13.9,0.0,34.5,Sunny,0,
2024-04-29,STORE01,11.3,23.5,31.6,Stormy,0,Sports Game
2024-04-30,STORE01,20.5,0.0,42.1,Clear,0,
2024-05-01,STORE01,14.3,0.0,49.9,Clear,0,Market Day
2024-05-02,STORE01,17.5,16.4,27.7,Stormy,0,Community Fair
2024-05-03,STORE01,25.0,0.0,28.5,Cloudy,0,Marathon
2024-05-04,STORE01,18.7,17.4,41.3,Stormy,0,Concert
2024-05-05,STORE01,20.8,17.4,49.7,Stormy,0,
2024-05-06,STORE01,20.9,0.0,29.9,Sunny,0,Marathon
2024-05-07,STORE01,23.2,16.9,47.4,Stormy,0,
2024-05-08,STORE01,16.6,0.0,39.4,Cloudy,0,Food Festival
2024-05-09,STORE01,15.1,0.0,28.2,Cloudy,0,
2024-05-10,STORE01,23.6,17.3,36.6,Stormy,0,Market Day
2024-05-11,STORE01,20.9,0.0,33.1,Cloudy,0,
2024-05-12,STORE01,22.5,0.0,47.9,Sunny,0,Community Fair
2024-05-13,STORE01,22.5,0.0,59.6,Clear,0,
2024-05-14,STORE01,13.0,0.0,51.2,Sunny,0,Community Fair
2024-05-15,STORE01,16.9,0.0,24.0,Clear,0,
2024-05-16,STORE01,20.0,16.6,30.3,Stormy,0,
2024-05-17,STORE01,23.2,0.0,43.8,Sunny,0,
2024-05-18,STORE01,24.1,19.0,36.8,Stormy,0,
2024-05-19,STORE01,21.2,0.0,34.3,Clear,0,
2024-05-20,STORE01,14.3,15.9,39.0,Stormy,0,
2024-05-21,STORE01,25.1,17.0,37.6,Stormy,0,
2024-05-22,STORE01,15.4,16.7,38.7,Stormy,0,
2024-05-23,STORE01,20.0,15.7,40.1,Stormy,0,Market Day
2024-05-24,STORE01,19.0,16.1,36.8,Stormy,0,Food Festival
2024-05-25,STORE01,18.3,16.7,39.9,Stormy,0,Local Festival
2024-05-26,STORE01,22.6,0.0,25.2,Cloudy,0,
2024-05-27,STORE01,20.7,18.2,32.4,Stormy,0,
2024-05-28,STORE01,20.6,0.0,44.3,Sunny,0,
2024-05-29,STORE01,13.6,0.0,31.9,Cloudy,0,Marathon
2024-05-30,STORE01,19.0,16.6,41.3,Stormy,0,
2024-05-31,STORE01,14.7,0.0,46.1,Cloudy,0,
