store_id,sku_id,category,impression_count,pick_count,conversion_rate
STORE01,SKU001,Beverages,125776,16001,0.1272
STORE01,SKU002,Beverages,27621,4566,0.1653
STORE01,SKU003,Beverages,134879,22658,0.168
STORE01,SKU004,Beverages,75993,20468,0.2693
STORE01,SKU005,Beverages,113736,25082,0.2205
STORE01,SKU006,Snacks,94115,17347,0.1843
STORE01,SKU007,Snacks,144682,25447,0.1759
STORE01,SKU008,Snacks,65615,14637,0.2231
STORE01,SKU009,Snacks,63252,14264,0.2255
STORE01,SKU010,Snacks,15834,4586,0.2896
STORE01,SKU011,Dairy,91028,11103,0.122
STORE01,SKU012,Dairy,62191,7396,0.1189
STORE01,SKU013,Dairy,40671,9314,0.229
STORE01,SKU014,Dairy,63954,12081,0.1889
STORE01,SKU015,Dairy,77453,16642,0.2149
STORE01,SKU016,Bakery,99484,20575,0.2068
STORE01,SKU017,Bakery,83852,10462,0.1248
STORE01,SKU018,Bakery,159839,19900,0.1245
STORE01,SKU019,Bakery,186559,21348,0.1144
STORE01,SKU020,Bakery,121294,25747,0.2123
STORE01,SKU021,Canned Goods,79293,8632,0.1089
STORE01,SKU022,Canned Goods,202306,26756,0.1323
STORE01,SKU023,Canned Goods,59668,8866,0.1486
STORE01,SKU024,Canned Goods,160757,22528,0.1401
STORE01,SKU025,Canned Goods,153046,9597,0.0627
STORE01,SKU026,Frozen Foods,183756,15172,0.0826
STORE01,SKU027,Frozen Foods,44556,5938,0.1333
STORE01,SKU028,Frozen Foods,89502,12592,0.1407
STORE01,SKU029,Frozen Foods,209634,18087,0.0863
STORE01,SKU030,Frozen Foods,172452,22979,0.1332
STORE01,SKU031,Personal Care,220732,17456,0.0791
STORE01,SKU032,Personal Care,154423,14956,0.0969
STORE01,SKU033,Personal Care,417080,22834,0.0547
STORE01,SKU034,Personal Care,107232,6400,0.0597
STORE01,SKU035,Personal Care,224697,12135,0.054
STORE01,SKU036,Household,216990,17770,0.0819
STORE01,SKU037,Household,200540,10499,0.0524
STORE01,SKU038,Household,122650,12249,0.0999
STORE01,SKU039,Household,277349,19953,0.0719
STORE01,SKU040,Household,118040,13264,0.1124
STORE01,SKU041,Condiments,120802,11486,0.0951
STORE01,SKU042,Condiments,141511,17756,0.1255
STORE01,SKU043,Condiments,125175,10376,0.0829
STORE01,SKU044,Condiments,33186,5121,0.1543
STORE01,SKU045,Condiments,251678,24364,0.0968
STORE01,SKU046,Cereals,131612,12094,0.0919
STORE01,SKU047,Cereals,102535,15064,0.1469
STORE01,SKU048,Cereals,62407,4539,0.0727
STORE01,SKU049,Cereals,238923,23802,0.0996
STORE01,SKU050,Cereals,28799,4693,0.163
STORE02,SKU001,Beverages,84280,16727,0.1985
STORE02,SKU002,Beverages,79498,12507,0.1573
STORE02,SKU003,Beverages,150427,22883,0.1521
STORE02,SKU004,Beverages,119426,19347,0.162
STORE02,SKU005,Beverages,87072,13362,0.1535
STORE02,SKU006,Snacks,67040,18896,0.2819
STORE02,SKU007,Snacks,56665,8017,0.1415
STORE02,SKU008,Snacks,62045,13550,0.2184
STORE02,SKU009,Snacks,120213,19776,0.1645
STORE02,SKU010,Snacks,116141,22854,0.1968
STORE02,SKU011,Dairy,30719,7863,0.256
STORE02,SKU012,Dairy,142618,15193,0.1065
STORE02,SKU013,Dairy,47663,5480,0.115
STORE02,SKU014,Dairy,98147,21350,0.2175
STORE02,SKU015,Dairy,72359,10733,0.1483
STORE02,SKU016,Bakery,85989,17025,0.198
STORE02,SKU017,Bakery,131138,25050,0.191
STORE02,SKU018,Bakery,192644,19895,0.1033
STORE02,SKU019,Bakery,219318,22505,0.1026
STORE02,SKU020,Bakery,87165,13403,0.1538
STORE02,SKU021,Canned Goods,179535,14505,0.0808
STORE02,SKU022,Canned Goods,288767,22738,0.0787
STORE02,SKU023,Canned Goods,331725,25424,0.0766
STORE02,SKU024,Canned Goods,133166,21600,0.1622
STORE02,SKU025,Canned Goods,166793,21418,0.1284
STORE02,SKU026,Frozen Foods,177713,21925,0.1234
STORE02,SKU027,Frozen Foods,172899,15714,0.0909
STORE02,SKU028,Frozen Foods,44558,4488,0.1007
STORE02,SKU029,Frozen Foods,146304,17442,0.1192
STORE02,SKU030,Frozen Foods,47306,8174,0.1728
STORE02,SKU031,Personal Care,202695,25385,0.1252
STORE02,SKU032,Personal Care,205177,14218,0.0693
STORE02,SKU033,Personal Care,343632,27905,0.0812
STORE02,SKU034,Personal Care,122431,6895,0.0563
STORE02,SKU035,Personal Care,157498,18340,0.1164
STORE02,SKU036,Household,334828,18846,0.0563
STORE02,SKU037,Household,238319,11692,0.0491
STORE02,SKU038,Household,253531,14833,0.0585
STORE02,SKU039,Household,90048,5671,0.063
STORE02,SKU040,Household,242665,11026,0.0454
STORE02,SKU041,Condiments,215565,22208,0.103
STORE02,SKU042,Condiments,159076,26331,0.1655
STORE02,SKU043,Condiments,149109,12516,0.0839
STORE02,SKU044,Condiments,171813,25012,0.1456
STORE02,SKU045,Condiments,335674,28123,0.0838
STORE02,SKU046,Cereals,135051,24557,0.1818
